,yhat
1335,193.1014792681164
1336,190.90972419055703
1337,191.08007866082653
1338,194.3463727013808
1339,199.5307025077578
1340,203.53830315598034
1341,203.3016062095148
1342,198.06152968179757
1343,189.89251841654496
1344,181.9833097980275
1345,176.3132490064342
1346,172.89005213393023
1347,171.0949928824278
1348,171.5236555455532
1349,176.18668962615675
1350,186.60567110372057
1351,201.56620484530893
1352,216.8433792563045
1353,227.48543679985457
1354,230.86685134232164
1355,227.98797193833187
1356,222.10130857181227
1357,216.12135381120942
1358,211.15570721609768
1359,207.12839164596176
1360,204.3118044936397
1361,203.81216164296237
1362,206.37042507638344
1363,210.81603682180105
1364,214.0617119638217
1365,213.04741596813292
1366,207.02157470227388
1367,198.06603613297864
1368,189.37675950993594
1369,182.94005711632474
1370,178.7702877262333
1371,176.25497826269535
1372,175.9955170707906
1373,180.0078548003733
1374,189.81831847979805
1375,204.21667375501835
1376,218.98154679177682
1377,229.16406976475994
1378,232.14094110209717
1379,228.91406020566313
1380,222.73681217328624
1381,216.52389639170417
1382,211.3824656543478
1383,207.235464672686
1384,204.35361063689385
1385,203.8408731716372
1386,206.4354440806844
1387,210.9635189668354
1388,214.33414278604042
1389,213.48324386349046
1390,207.6549039890075
1391,198.92638277075747
1392,190.48887123057452
1393,184.32379888232825
1394,180.4405925854835
1395,178.22186283616202
1396,178.2641600867477
1397,182.57873629914965
1398,192.68741655931024
1399,207.37571502397105
1400,222.4183060423211
1401,232.862713798015
1402,236.08241112053486
1403,233.07648675235785
1404,227.09595624349603
1405,221.05361007565256
1406,216.05516549221358
1407,212.02261081882128
1408,209.2261849366835
1409,208.76984935191422
1410,211.39224344595166
1411,215.92044526755964
1412,219.26479028515004
1413,218.36287306439183
1414,212.46077999746328
1415,203.63807183722713
1416,195.08849165119818
1417,188.7962231154002
1418,184.7735981635062
1419,182.4062303973882
1420,182.29371762339665
1421,186.45034949635274
1422,196.40092587698024
1423,210.9338209397793
1424,225.8264046196631
1425,236.12868545609183
1426,239.2163661558898
1427,236.0904717876182
1428,230.00362633858657
1429,223.86987174100713
1430,218.7957962685838
1431,214.70386143788508
1432,211.86437034231454
1433,211.38093504402988
1434,213.99143369753997
1435,218.52177976837248
1436,221.88075567546767
1437,221.00403564370765
1438,215.13544562715123
1439,206.3519787065119
1440,197.84454114671155
1441,191.5942535314311
1442,187.61020541970015
1443,185.27463929979115
1444,185.18370652258528
1445,189.34823046945226
1446,199.28958180210157
1447,213.7928000471762
1448,228.6320723067758
1449,238.85443235371335
1450,241.8328706400003
1451,238.5660143538563
1452,232.3044525130908
1453,225.96059948856686
1454,220.63986319856298
1455,216.26400650226412
1456,213.10314417913128
1457,212.26123265026473
1458,214.4770427243733
1459,218.57793742418974
1460,221.47470700480818
1461,220.10558582199397
1462,213.7174988787798
1463,204.39105651601804
1464,195.32127258926414
1465,188.49383079990926
1466,183.92279796599166
1467,180.9957604367842
1468,180.31452684296266
1469,183.8958330258364
1470,193.2671546464161
1471,207.2197624477331
1472,221.53413173026829
1473,231.26357011396527
1474,233.78725496365627
1475,230.10984048382676
1476,223.48771035459467
1477,216.83877018873014
1478,211.27354692432485
1479,206.71848454074862
1480,203.44787930702827
1481,202.56931250349388
1482,204.82457163168638
1483,209.04338284116736
1484,212.13820728640158
1485,211.04822659949522
1486,205.02056574924805
1487,196.1352721054909
1488,187.58602631040793
1489,181.35640978607339
1490,177.45762772461345
1491,175.27366372542264
1492,175.402009129692
1493,179.8544026540574
1494,190.15268548625386
1495,205.08190638111105
1496,220.4157878003043
1497,231.20041655962746
1498,234.80734968410817
1499,232.23329472764286
1500,226.7264396225991
1501,221.19632548168198
1502,216.74502857290605
